geoid,units_single_family,units_multi_family,units_total,year
37023,258,8,266,2005
37025,2613,46,2659,2005
37027,336,26,362,2005
37029,141,0,141,2005
37031,839,196,1035,2005
37033,80,0,80,2005
37035,740,101,841,2005
37037,661,48,709,2005
37039,531,0,531,2005
37041,113,112,225,2005
37043,224,18,242,2005
37045,378,114,492,2005
37047,91,6,97,2005
37049,1136,149,1285,2005
37051,2275,1390,3665,2005
37053,483,2,485,2005
37055,691,35,726,2005
37057,1057,47,1104,2005
37059,445,4,449,2005
37061,120,22,142,2005
37063,2269,162,2431,2005
37065,70,4,74,2005
37067,2838,300,3138,2005
37069,539,0,539,2005
37071,1269,158,1427,2005
37073,42,0,42,2005
37075,95,0,95,2005
37077,626,39,665,2005
37079,29,0,29,2005
37081,4170,825,4995,2005
37083,44,46,90,2005
37085,1180,10,1190,2005
37087,506,6,512,2005
37089,895,140,1035,2005
37091,45,0,45,2005
37093,660,0,660,2005
37095,35,0,35,2005
37097,2059,487,2546,2005
37099,546,223,769,2005
37101,1894,62,1956,2005
37103,25,0,25,2005
37105,363,194,557,2005
37107,75,2,77,2005
37109,734,0,734,2005
37111,211,35,246,2005
37113,363,0,363,2005
37115,143,0,143,2005
37117,31,0,31,2005
37119,8473,2355,10828,2005
37121,68,0,68,2005
37123,108,0,108,2005
37125,989,86,1075,2005
37127,599,93,692,2005
37129,2365,1036,3401,2005
37131,177,0,177,2005
37133,1658,160,1818,2005
37135,1016,2,1018,2005
37137,99,8,107,2005
37139,448,100,548,2005
37141,1047,48,1095,2005
37143,161,0,161,2005
37145,231,4,235,2005
37147,1393,1155,2548,2005
37149,165,0,165,2005
37151,679,176,855,2005
37153,285,107,392,2005
37155,391,0,391,2005
37157,371,69,440,2005
37159,642,228,870,2005
37161,399,38,437,2005
37163,182,42,224,2005
37165,62,7,69,2005
37167,426,90,516,2005
37169,266,0,266,2005
37171,188,0,188,2005
37173,136,0,136,2005
37175,289,34,323,2005
37177,23,0,23,2005
37179,3972,0,3972,2005
37181,118,0,118,2005
37183,11534,585,12119,2005
37185,155,0,155,2005
37187,19,0,19,2005
37189,508,142,650,2005
37191,603,4,607,2005
37193,231,0,231,2005
37195,384,58,442,2005
37197,141,0,141,2005
37199,124,32,156,2005
38001,3,0,3,2005
38003,23,27,50,2005
38005,0,0,0,2005
38007,1,0,1,2005
38009,2,4,6,2005
38011,1,0,1,2005
38013,3,0,3,2005
38015,502,55,557,2005
38017,995,1052,2047,2005
38019,0,2,2,2005
38021,1,0,1,2005
38023,0,0,0,2005
38025,4,0,4,2005
38027,1,0,1,2005
38029,1,0,1,2005
38031,5,0,5,2005
38033,2,0,2,2005
38035,201,300,501,2005
38037,0,0,0,2005
38039,0,0,0,2005
38041,1,0,1,2005
38043,4,0,4,2005
38045,3,0,3,2005
38047,0,0,0,2005
38049,5,0,5,2005
38051,10,0,10,2005
38053,1,0,1,2005
38055,20,0,20,2005
38057,8,0,8,2005
38059,139,46,185,2005
38061,19,0,19,2005
38063,2,0,2,2005
38065,0,0,0,2005
38067,1,0,1,2005
38069,3,0,3,2005
38071,1,11,12,2005
38073,5,0,5,2005
38075,2,0,2,2005
38077,36,0,36,2005
38079,0,0,0,2005
38081,12,14,26,2005
38083,1,0,1,2005
38085,0,0,0,2005
38087,0,0,0,2005
38089,56,88,144,2005
38091,6,5,11,2005
38093,30,8,38,2005
38095,0,0,0,2005
38097,20,0,20,2005
38099,6,0,6,2005
38101,179,55,234,2005
38103,1,0,1,2005
38105,51,4,55,2005
39001,0,0,0,2005
39003,267,53,320,2005
39005,162,196,358,2005
39007,214,0,214,2005
39009,17,9,26,2005
39011,174,16,190,2005
39013,19,22,41,2005
39015,162,40,202,2005
39017,2573,204,2777,2005
39019,5,0,5,2005
39021,114,0,114,2005
39023,247,40,287,2005
39025,1196,332,1528,2005
39027,264,0,264,2005
39029,138,55,193,2005
39031,5,0,5,2005
39033,56,4,60,2005
39035,1748,245,1993,2005
39037,103,66,169,2005
39039,116,85,201,2005
39041,1851,106,1957,2005
39043,223,200,423,2005
39045,810,182,992,2005
39047,131,50,181,2005
39049,4446,2838,7284,2005
39051,163,8,171,2005
39053,1,0,1,2005
39055,365,0,365,2005
39057,1043,324,1367,2005
39059,72,2,74,2005
39061,1236,871,2107,2005
39063,981,0,981,2005
39065,39,0,39,2005
39067,3,0,3,2005
39069,69,12,81,2005
39071,108,36,144,2005
39073,20,136,156,2005
39075,105,37,142,2005
39077,124,42,166,2005
39079,89,0,89,2005
39081,7,4,11,2005
39083,365,8,373,2005
39085,817,116,933,2005
39087,27,8,35,2005
39089,767,320,1087,2005
39091,173,18,191,2005
39093,1784,174,1958,2005
39095,1297,210,1507,2005
39097,147,16,163,2005
39099,511,0,511,2005
39101,182,60,242,2005
39103,1161,28,1189,2005
39105,12,0,12,2005
39107,117,28,145,2005
39109,307,0,307,2005
39111,0,0,0,2005
39113,1280,92,1372,2005
39115,63,0,63,2005
39117,171,0,171,2005
39119,2,80,82,2005
39121,27,0,27,2005
39123,328,8,336,2005
39125,25,18,43,2005
39127,80,37,117,2005
39129,167,2,169,2005
39131,101,54,155,2005
39133,625,131,756,2005
39135,97,12,109,2005
39137,102,0,102,2005
39139,265,165,430,2005
39141,39,0,39,2005
39143,128,4,132,2005
39145,5,54,59,2005
39147,82,40,122,2005
39149,215,80,295,2005
39151,1252,152,1404,2005
39153,1685,283,1968,2005
39155,350,99,449,2005
39157,146,18,164,2005
39159,440,0,440,2005
39161,67,0,67,2005
39163,0,4,4,2005
39165,2241,236,2477,2005
39167,39,0,39,2005
39169,368,98,466,2005
39171,119,2,121,2005
39173,609,543,1152,2005
39175,55,8,63,2005
40001,5,0,5,2005
40003,0,0,0,2005
40005,9,0,9,2005
40007,0,0,0,2005
40009,70,2,72,2005
40011,3,0,3,2005
40013,63,45,108,2005
40015,19,4,23,2005
40017,525,95,620,2005
40019,133,159,292,2005
40021,40,68,108,2005
40023,32,20,52,2005
40025,0,0,0,2005
40027,1591,391,1982,2005
40029,7,0,7,2005
40031,315,320,635,2005
40033,1,0,1,2005
40035,6,0,6,2005
40037,200,0,200,2005
40039,62,6,68,2005
40041,118,26,144,2005
40043,0,0,0,2005
40045,1,0,1,2005
40047,74,74,148,2005
40049,15,0,15,2005
40051,135,2,137,2005
40053,0,0,0,2005
40055,2,0,2,2005
40059,0,0,0,2005
40061,7,0,7,2005
40063,5,0,5,2005
40065,38,0,38,2005
40067,1,0,1,2005
40069,17,12,29,2005
40071,12,0,12,2005
40073,38,0,38,2005
40075,0,0,0,2005
40077,0,0,0,2005
40079,70,25,95,2005
40081,22,7,29,2005
40083,36,0,36,2005
40085,17,0,17,2005
40087,337,15,352,2005
40089,60,0,60,2005
40091,15,0,15,2005
40093,3,0,3,2005
40095,2,0,2,2005
40097,29,0,29,2005
40099,31,0,31,2005
40101,185,50,235,2005
40103,8,0,8,2005
40105,9,2,11,2005
40107,25,0,25,2005
40109,5555,338,5893,2005
40111,10,0,10,2005
40113,157,0,157,2005
40115,27,12,39,2005
40117,20,0,20,2005
40119,230,108,338,2005
40121,57,60,117,2005
40123,20,2,22,2005
40125,207,140,347,2005
40127,2,0,2,2005
40129,0,0,0,2005
40131,621,22,643,2005
40133,12,54,66,2005
40135,56,2,58,2005
40137,83,0,83,2005
40139,15,0,15,2005
40141,0,0,0,2005
40143,3304,620,3924,2005
40145,682,8,690,2005
40147,190,4,194,2005
40149,2,0,2,2005
40151,2,0,2,2005
40153,24,0,24,2005
41000,309,0,309,2005
41001,56,0,56,2005
41003,320,176,496,2005
41005,2450,230,2680,2005
41007,227,53,280,2005
41009,355,10,365,2005
41011,76,83,159,2005
41013,337,14,351,2005
41015,157,28,185,2005
41017,3893,567,4460,2005
41019,438,59,497,2005
41025,14,0,14,2005
41027,166,0,166,2005
41029,1707,329,2036,2005
41031,235,0,235,2005
41033,722,127,849,2005
41035,480,80,560,2005
41037,31,2,33,2005
41039,1537,819,2356,2005
41041,396,47,443,2005
41043,865,150,1015,2005
41045,40,0,40,2005
41047,1659,325,1984,2005
41049,10,0,10,2005
41051,1659,2914,4573,2005
41053,424,30,454,2005
41057,372,28,400,2005
41059,141,79,220,2005
41061,54,2,56,2005
41065,0,0,0,2005
41067,3808,865,4673,2005
41071,902,167,1069,2005
42001,602,4,606,2005
42003,1594,410,2004,2005
42005,110,52,162,2005
42007,323,64,387,2005
42009,118,0,118,2005
42011,1273,95,1368,2005
42013,176,4,180,2005
42015,104,0,104,2005
42017,1892,212,2104,2005
42019,913,247,1160,2005
42021,238,8,246,2005
42023,4,0,4,2005
42025,569,2,571,2005
42027,663,38,701,2005
42029,2865,216,3081,2005
42031,97,0,97,2005
42033,176,0,176,2005
42035,100,0,100,2005
42037,209,2,211,2005
42039,146,16,162,2005
42041,1183,165,1348,2005
42043,1003,201,1204,2005
42045,796,40,836,2005
42047,42,0,42,2005
42049,530,194,724,2005
42051,50,49,99,2005
42053,15,6,21,2005
42055,955,127,1082,2005
42057,89,0,89,2005
42059,84,48,132,2005
42061,174,0,174,2005
42063,43,18,61,2005
42065,107,0,107,2005
42067,86,0,86,2005
42069,463,6,469,2005
42071,1812,228,2040,2005
42073,169,0,169,2005
42075,706,139,845,2005
42077,1497,234,1731,2005
42079,739,75,814,2005
42081,261,38,299,2005
42083,39,0,39,2005
42085,218,50,268,2005
42087,77,0,77,2005
42089,1610,50,1660,2005
42091,2300,1368,3668,2005
42093,64,0,64,2005
42095,1812,174,1986,2005
42097,164,0,164,2005
42099,142,10,152,2005
42101,383,2123,2506,2005
42103,1033,0,1033,2005
42105,69,0,69,2005
42107,455,88,543,2005
42109,120,0,120,2005
42111,131,10,141,2005
42113,43,0,43,2005
42115,136,0,136,2005
42117,113,0,113,2005
42119,129,48,177,2005
42121,103,18,121,2005
42123,43,24,67,2005
42125,808,9,817,2005
42127,460,0,460,2005
42129,874,98,972,2005
42131,96,3,99,2005
42133,2870,246,3116,2005
44001,60,49,109,2005
44003,287,336,623,2005
44005,248,38,286,2005
44007,756,413,1169,2005
44009,457,192,649,2005
45001,64,0,64,2005
45003,1157,2,1159,2005
45005,4,0,4,2005
45007,1415,516,1931,2005
45009,24,0,24,2005
45011,36,0,36,2005
45013,3996,654,4650,2005
45015,1786,83,1869,2005
45017,68,0,68,2005
45019,4374,2014,6388,2005
45021,108,0,108,2005
45023,79,0,79,2005
45025,97,2,99,2005
45027,228,0,228,2005
45029,153,17,170,2005
45031,181,0,181,2005
45033,61,0,61,2005
45035,1924,637,2561,2005
45037,129,0,129,2005
45039,106,0,106,2005
45041,725,0,725,2005
45043,740,313,1053,2005
45045,4223,67,4290,2005
45047,248,10,258,2005
45049,40,6,46,2005
45051,6471,5357,11828,2005
45053,198,0,198,2005
45055,624,0,624,2005
45057,405,0,405,2005
45059,173,0,173,2005
45061,89,0,89,2005
45063,2236,23,2259,2005
45065,57,0,57,2005
45067,40,0,40,2005
45069,24,0,24,2005
45071,118,0,118,2005
45073,830,31,861,2005
45075,262,19,281,2005
45077,587,12,599,2005
45079,3568,756,4324,2005
45081,49,0,49,2005
45083,2123,8,2131,2005
45085,571,56,627,2005
45087,41,0,41,2005
45089,61,0,61,2005
45091,2848,233,3081,2005
46003,16,0,16,2005
46005,49,8,57,2005
46007,0,0,0,2005
46009,11,0,11,2005
46011,166,73,239,2005
46013,109,21,130,2005
46015,14,0,14,2005
46019,96,3,99,2005
46021,0,0,0,2005
46023,8,0,8,2005
46025,13,2,15,2005
46027,35,11,46,2005
46029,136,10,146,2005
46031,0,0,0,2005
46033,114,0,114,2005
46035,87,28,115,2005
46037,30,0,30,2005
46039,19,0,19,2005
46041,0,0,0,2005
46043,2,2,4,2005
46045,18,0,18,2005
46047,11,63,74,2005
46049,0,4,4,2005
46051,24,0,24,2005
46053,16,0,16,2005
46055,8,0,8,2005
46057,41,2,43,2005
46059,16,0,16,2005
46061,6,0,6,2005
46063,0,0,0,2005
46065,69,12,81,2005
46067,7,4,11,2005
46069,5,0,5,2005
46071,0,0,0,2005
46073,11,0,11,2005
46075,0,0,0,2005
46077,19,0,19,2005
46079,62,0,62,2005
46081,254,33,287,2005
46083,349,42,391,2005
46085,13,0,13,2005
46087,20,10,30,2005
46089,4,0,4,2005
46091,26,0,26,2005
46093,273,0,273,2005
46095,0,0,0,2005
46097,9,0,9,2005
46099,1467,370,1837,2005
46101,35,0,35,2005
46103,669,234,903,2005
46105,0,0,0,2005
46107,1,0,1,2005
46109,41,0,41,2005
46111,16,0,16,2005
46115,11,2,13,2005
46117,25,0,25,2005
46119,6,0,6,2005
46121,2,0,2,2005
46123,3,0,3,2005
46125,33,4,37,2005
46127,123,6,129,2005
46129,8,0,8,2005
46135,87,48,135,2005
47001,284,20,304,2005
47003,459,0,459,2005
47005,5,0,5,2005
47009,871,136,1007,2005
47011,598,68,666,2005
47013,33,14,47,2005
47015,5,0,5,2005
47017,16,8,24,2005
47019,252,35,287,2005
47021,246,12,258,2005
47023,115,0,115,2005
47025,163,12,175,2005
47029,4,0,4,2005
47031,533,12,545,2005
47033,10,0,10,2005
47035,109,15,124,2005
47037,3819,1201,5020,2005
47039,2,0,2,2005
47041,25,0,25,2005
47043,262,4,266,2005
47045,90,0,90,2005
47047,708,0,708,2005
47049,0,4,4,2005
47051,250,2,252,2005
47053,285,0,285,2005
47055,14,0,14,2005
47057,3,2,5,2005
47059,381,108,489,2005
47061,0,0,0,2005
47063,236,48,284,2005
47065,1971,229,2200,2005
47067,0,0,0,2005
47069,85,0,85,2005
47071,13,12,25,2005
47073,108,21,129,2005
47075,53,2,55,2005
47077,33,0,33,2005
47079,33,12,45,2005
47081,4,0,4,2005
47083,4,0,4,2005
47085,32,0,32,2005
47089,439,24,463,2005
47091,3,0,3,2005
47093,3478,358,3836,2005
47095,6,4,10,2005
47097,128,4,132,2005
47099,9,2,11,2005
47101,5,0,5,2005
47103,14,0,14,2005
47105,455,0,455,2005
47107,69,0,69,2005
47109,31,0,31,2005
47111,10,18,28,2005
47113,622,2,624,2005
47115,129,0,129,2005
47117,264,0,264,2005
47119,1926,10,1936,2005
47121,60,0,60,2005
47123,272,4,276,2005
47125,1843,779,2622,2005
47127,66,0,66,2005
47129,1,0,1,2005
47131,45,2,47,2005
47133,6,0,6,2005
47135,0,0,0,2005
47139,160,0,160,2005
47141,512,203,715,2005
47143,129,0,129,2005
47145,51,4,55,2005
47147,566,102,668,2005
47149,4006,1005,5011,2005
47151,13,0,13,2005
47153,13,0,13,2005
47155,455,383,838,2005
47157,4769,947,5716,2005
47159,91,72,163,2005
47161,12,14,26,2005
47163,705,71,776,2005
47165,1703,115,1818,2005
47167,626,0,626,2005
47169,44,0,44,2005
47171,8,0,8,2005
47173,155,0,155,2005
47177,29,0,29,2005
47179,686,284,970,2005
47181,9,0,9,2005
47183,105,6,111,2005
47185,14,0,14,2005
47187,1941,0,1941,2005
47189,1377,51,1428,2005
48001,23,0,23,2005
48003,24,0,24,2005
48005,104,0,104,2005
48007,256,0,256,2005
48009,10,6,16,2005
48011,1,0,1,2005
48013,64,4,68,2005
48015,46,3,49,2005
48017,6,0,6,2005
48019,0,52,52,2005
48021,269,0,269,2005
48023,0,0,0,2005
48025,11,0,11,2005
48027,3047,622,3669,2005
48029,10298,7510,17808,2005
48031,26,0,26,2005
48035,5,0,5,2005
48037,136,20,156,2005
48039,3989,699,4688,2005
48041,789,821,1610,2005
48043,7,0,7,2005
48047,3,0,3,2005
48049,41,86,127,2005
48051,9,0,9,2005
48053,433,128,561,2005
48055,84,0,84,2005
48057,115,3,118,2005
48059,31,0,31,2005
48061,3069,625,3694,2005
48063,8,0,8,2005
48065,7,0,7,2005
48067,17,6,23,2005
48069,0,0,0,2005
48071,517,0,517,2005
48073,28,4,32,2005
48075,1,0,1,2005
48077,9,0,9,2005
48079,0,0,0,2005
48081,0,0,0,2005
48083,2,0,2,2005
48085,12558,1286,13844,2005
48087,0,0,0,2005
48089,20,0,20,2005
48091,2182,23,2205,2005
48093,5,0,5,2005
48097,42,4,46,2005
48099,331,202,533,2005
48101,0,0,0,2005
48103,0,0,0,2005
48107,1,0,1,2005
48109,18,0,18,2005
48111,5,0,5,2005
48113,10520,3884,14404,2005
48115,1,0,1,2005
48117,17,2,19,2005
48119,0,0,0,2005
48121,3816,1449,5265,2005
48123,5,0,5,2005
48127,15,0,15,2005
48129,4,0,4,2005
48133,0,0,0,2005
48135,149,106,255,2005
48139,1810,22,1832,2005
48141,4333,1072,5405,2005
48143,45,22,67,2005
48145,18,0,18,2005
48147,71,14,85,2005
48149,33,0,33,2005
48151,0,0,0,2005
48153,8,16,24,2005
48157,4097,0,4097,2005
48159,6,0,6,2005
48161,26,16,42,2005
48163,19,0,19,2005
48165,17,0,17,2005
48167,3148,170,3318,2005
48169,0,0,0,2005
48171,80,64,144,2005
48177,9,0,9,2005
48179,3,0,3,2005
48181,423,321,744,2005
48183,357,10,367,2005
48185,28,0,28,2005
48187,1531,2,1533,2005
48189,86,0,86,2005
48191,0,0,0,2005
48193,3,0,3,2005
48195,0,0,0,2005
48197,0,0,0,2005
48199,98,0,98,2005
48201,32465,9041,41506,2005
48203,40,0,40,2005
48207,2,4,6,2005
48209,2124,531,2655,2005
48211,4,0,4,2005
48213,141,36,177,2005
48215,6741,2148,8889,2005
48217,15,0,15,2005
48219,20,0,20,2005
48221,126,14,140,2005
48223,29,0,29,2005
48225,7,0,7,2005
48227,2,64,66,2005
48231,197,238,435,2005
48233,1,0,1,2005
48237,1,0,1,2005
48239,20,0,20,2005
48241,6,2,8,2005
48245,427,392,819,2005
48249,82,72,154,2005
48251,1145,6,1151,2005
48253,3,14,17,2005
48255,8,0,8,2005
48257,914,4,918,2005
48259,552,0,552,2005
48265,88,0,88,2005
48267,13,0,13,2005
48271,0,0,0,2005
48273,7,0,7,2005
48277,58,2,60,2005
48279,0,0,0,2005
48281,27,3,30,2005
48283,3,0,3,2005
48285,16,4,20,2005
48287,23,0,23,2005
48291,287,0,287,2005
48293,9,2,11,2005
48295,0,0,0,2005
48297,4,0,4,2005
48299,252,68,320,2005
48303,1291,490,1781,2005
48305,2,0,2,2005
48307,2,9,11,2005
48309,1015,307,1322,2005
48313,13,7,20,2005
48315,0,0,0,2005
48317,10,0,10,2005
48319,14,0,14,2005
48321,97,0,97,2005
48323,213,14,227,2005
48325,43,0,43,2005
48329,390,0,390,2005
48331,15,0,15,2005
48335,1,0,1,2005
48337,0,0,0,2005
48339,6586,855,7441,2005
48341,26,0,26,2005
48343,7,0,7,2005
48347,101,2,103,2005
48349,68,0,68,2005
48351,0,0,0,2005
48353,4,0,4,2005
48355,1553,466,2019,2005
48357,7,0,7,2005
48359,3,0,3,2005
48361,283,0,283,2005
48363,13,2,15,2005
48365,16,0,16,2005
48367,480,61,541,2005
48369,1,0,1,2005
48371,16,0,16,2005
48373,185,2,187,2005
48375,824,288,1112,2005
48377,101,2,103,2005
48379,14,0,14,2005
48381,31,26,57,2005
48383,3,0,3,2005
48385,0,0,0,2005
48387,4,0,4,2005
48389,2,0,2,2005
48391,12,0,12,2005
48395,17,0,17,2005
48397,1756,245,2001,2005
48399,1,0,1,2005
48401,22,0,22,2005
48403,0,0,0,2005
48405,0,0,0,2005
48407,3,0,3,2005
48409,332,6,338,2005
48411,1,0,1,2005
48413,0,0,0,2005
48415,7,0,7,2005
48419,3,0,3,2005
48421,21,2,23,2005
48423,604,141,745,2005
48425,24,0,24,2005
48429,1,0,1,2005
48435,0,0,0,2005
48437,0,0,0,2005
48439,16121,3191,19312,2005
48441,276,22,298,2005
48445,5,0,5,2005
48449,46,0,46,2005
48451,270,0,270,2005
48453,9425,4809,14234,2005
48455,1,0,1,2005
48457,3,0,3,2005
48459,7,0,7,2005
48461,0,0,0,2005
48463,35,4,39,2005
48465,148,8,156,2005
48467,47,8,55,2005
48469,123,0,123,2005
48471,84,198,282,2005
48473,67,152,219,2005
48475,3,0,3,2005
48477,64,76,140,2005
48479,1886,290,2176,2005
48481,34,0,34,2005
48483,0,0,0,2005
48485,296,244,540,2005
48487,0,0,0,2005
48489,36,0,36,2005
48491,5444,555,5999,2005
48493,36,8,44,2005
48495,8,0,8,2005
48497,172,20,192,2005
48499,12,4,16,2005
48501,0,0,0,2005
48503,6,0,6,2005
48507,3,0,3,2005
49001,36,0,36,2005
49003,439,44,483,2005
49005,885,130,1015,2005
49007,51,0,51,2005
49009,19,0,19,2005
49011,2983,203,3186,2005
49013,162,0,162,2005
49015,15,0,15,2005
49017,103,0,103,2005
49019,124,20,144,2005
49021,864,149,1013,2005
49023,95,52,147,2005
49025,247,0,247,2005
49027,49,0,49,2005
49029,183,2,185,2005
49031,15,0,15,2005
49033,77,10,87,2005
49035,5795,1865,7660,2005
49037,61,0,61,2005
49039,56,0,56,2005
49041,92,10,102,2005
49043,685,223,908,2005
49045,648,27,675,2005
49047,215,14,229,2005
49049,4595,654,5249,2005
49051,475,18,493,2005
49053,3563,285,3848,2005
49055,14,0,14,2005
49057,1473,74,1547,2005
50001,158,34,192,2005
50003,149,70,219,2005
50005,143,9,152,2005
50007,349,152,501,2005
50009,38,0,38,2005
50011,288,42,330,2005
50013,31,2,33,2005
50015,146,6,152,2005
50017,79,8,87,2005
50019,149,145,294,2005
50021,161,8,169,2005
50023,231,24,255,2005
50025,189,18,207,2005
50027,249,39,288,2005
51001,322,102,424,2005
51003,742,331,1073,2005
51005,31,0,31,2005
51007,169,0,169,2005
51009,124,0,124,2005
51011,133,0,133,2005
51013,166,1109,1275,2005
51015,510,47,557,2005
51017,31,0,31,2005
51019,704,40,744,2005
51021,41,0,41,2005
51023,273,0,273,2005
51025,47,0,47,2005
51027,14,21,35,2005
51029,102,0,102,2005
51031,339,0,339,2005
51033,642,4,646,2005
51035,185,0,185,2005
51036,41,0,41,2005
51037,59,0,59,2005
51041,2188,529,2717,2005
51043,221,0,221,2005
51045,34,0,34,2005
51047,1482,20,1502,2005
51049,63,0,63,2005
51051,18,0,18,2005
51053,174,0,174,2005
51057,152,20,172,2005
51059,2276,2077,4353,2005
51061,706,0,706,2005
51063,94,8,102,2005
51065,248,0,248,2005
51067,509,119,628,2005
51069,1271,0,1271,2005
51071,67,0,67,2005
51073,288,0,288,2005
51075,380,0,380,2005
51077,59,0,59,2005
51079,207,0,207,2005
51081,60,0,60,2005
51083,104,0,104,2005
51085,619,0,619,2005
51087,1781,301,2082,2005
51089,84,0,84,2005
51091,23,0,23,2005
51093,534,0,534,2005
51095,1178,0,1178,2005
51097,60,0,60,2005
51099,517,12,529,2005
51101,199,0,199,2005
51103,130,2,132,2005
51105,55,2,57,2005
51107,4716,483,5199,2005
51109,728,0,728,2005
51111,30,0,30,2005
51113,123,0,123,2005
51115,91,0,91,2005
51117,195,0,195,2005
51119,128,4,132,2005
51121,361,12,373,2005
51125,216,0,216,2005
51127,340,0,340,2005
51131,117,18,135,2005
51133,232,0,232,2005
51135,74,0,74,2005
51137,652,66,718,2005
51139,220,4,224,2005
51141,100,0,100,2005
51143,253,27,280,2005
51145,360,0,360,2005
51147,110,20,130,2005
51149,238,0,238,2005
51153,5140,287,5427,2005
51155,145,29,174,2005
51157,60,0,60,2005
51159,51,0,51,2005
51161,381,26,407,2005
51163,203,5,208,2005
51165,812,0,812,2005
51167,79,0,79,2005
51169,51,0,51,2005
51171,561,0,561,2005
51173,49,2,51,2005
51175,99,4,103,2005
51177,1511,154,1665,2005
51179,1452,187,1639,2005
51181,82,0,82,2005
51183,35,0,35,2005
51185,73,12,85,2005
51187,398,0,398,2005
51191,268,74,342,2005
51193,152,0,152,2005
51195,63,0,63,2005
51197,119,26,145,2005
51199,312,48,360,2005
51510,195,822,1017,2005
51515,6,0,6,2005
51520,30,67,97,2005
51530,15,0,15,2005
51540,163,122,285,2005
51550,1443,646,2089,2005
51570,54,0,54,2005
51580,6,0,6,2005
51590,30,0,30,2005
51595,16,0,16,2005
51600,28,0,28,2005
51610,24,0,24,2005
51620,62,0,62,2005
51630,410,0,410,2005
51640,22,0,22,2005
51650,259,620,879,2005
51660,340,46,386,2005
51670,152,0,152,2005
51678,9,0,9,2005
51680,469,27,496,2005
51683,154,0,154,2005
51685,81,107,188,2005
51690,9,0,9,2005
51700,198,452,650,2005
51710,526,657,1183,2005
51720,1,0,1,2005
51730,21,0,21,2005
51735,90,0,90,2005
51740,168,59,227,2005
51750,20,52,72,2005
51760,525,229,754,2005
51770,151,40,191,2005
51775,62,9,71,2005
51790,119,78,197,2005
51800,1090,0,1090,2005
51810,894,1209,2103,2005
51820,95,21,116,2005
51830,31,0,31,2005
51840,155,64,219,2005
53001,32,5,37,2005
53003,106,0,106,2005
53005,1103,116,1219,2005
53007,457,50,507,2005
53009,666,153,819,2005
53011,3495,276,3771,2005
53013,10,0,10,2005
53015,469,46,515,2005
53017,381,14,395,2005
53019,32,0,32,2005
53021,1061,170,1231,2005
53023,6,0,6,2005
53025,570,69,639,2005
53027,335,85,420,2005
53029,752,16,768,2005
53031,326,0,326,2005
53033,6331,5703,12034,2005
53035,1300,311,1611,2005
53037,547,12,559,2005
53039,129,0,129,2005
53041,499,30,529,2005
53043,47,0,47,2005
53045,601,32,633,2005
53047,237,7,244,2005
53049,194,15,209,2005
53051,84,4,88,2005
53053,5515,1311,6826,2005
53055,204,8,212,2005
53057,934,84,1018,2005
53059,120,0,120,2005
53061,5719,940,6659,2005
53063,3557,839,4396,2005
53065,223,0,223,2005
53067,2530,40,2570,2005
53069,49,0,49,2005
53071,211,46,257,2005
53073,1698,858,2556,2005
53075,138,300,438,2005
53077,739,41,780,2005
54001,4,0,4,2005
54003,1866,69,1935,2005
54005,16,0,16,2005
54007,1,0,1,2005
